,Alborz,Ardebil,Bushehr,Chahar Mahall and Bakhtiari,East Azarbaijan,Esfahan,Fars,Gilan,Golestan,Hamadan,Hormozgan,Ilam,Kerman,Kermanshah,Khuzestan,Kohgiluyeh and Buyer Ahmad,Kordestan,Lorestan,Markazi,Mazandaran,North Khorasan,Qazvin,Qom,Razavi Khorasan,Semnan,Sistan and Baluchestan,South Khorasan,Tehran,West Azarbaijan,Yazd,Zanjan
Alborz,0,423.8249744,788.0031818,838.4226962,530.3109302,362.7190714,745.5375371,257.8387991,298.7981094,350.8016967,996.7742807,3527.732789,11916.9595,493.2043585,566.2879184,581.850826,701.5373881,444.0352736,263.9763189,44.25100516,536.6444407,192.6240518,183.739733,627.803456,122.877885,1195.043569,438.3570056,71.39625316,662.2746496,497.0299228,332.9669354
Ardebil,423.8249744,0,1060.377149,1187.055215,146.8435513,685.592295,1092.161832,170.0151739,608.3244089,383.591049,1387.421865,3893.717824,11617.22611,449.4610365,745.5768678,857.96237,405.9456361,523.1559195,433.9953888,384.7184616,852.9890307,266.1611166,462.1131114,1003.998452,541.5975578,1617.12427,296.2995772,395.7822222,293.2883306,896.5066064,175.8316949
Bushehr,788.0031818,1060.377149,0,269.4643797,1068.933625,425.7212388,234.4976062,918.61717,997.8652509,686.9880285,554.7920983,3642.089437,12674.8506,696.7269488,340.6549179,208.7703816,1030.940899,567.558009,628.9036806,824.8669209,1130.894759,818.812828,633.5442984,1058.341095,775.5225707,980.3325592,823.9964827,751.1757787,1116.95145,470.857988,886.3119285
Chahar Mahall and Bakhtiari,838.4226962,1187.055215,269.4643797,0,1225.087116,501.9509188,94.99412339,1027.413411,975.3752175,846.6588497,286.0615899,3382.689604,12753.98046,892.8068628,554.8681536,366.0578028,1234.093201,754.6480612,758.8176138,881.1099942,1050.092357,925.4809694,727.7229224,930.3473995,786.0555995,713.5113654,996.0975899,823.4368737,1297.289912,383.9342381,1023.169615
East Azarbaijan,530.3109302,146.8435513,1068.933625,1225.087116,0,732.8235015,1131.448946,275.0890225,745.5509924,383.1226981,1446.084753,4031.012501,11628.5809,400.168887,736.9472274,876.6650423,266.391748,506.1082805,468.1678815,496.5588522,993.0877422,347.0998401,523.267779,1134.926649,652.5388965,1706.594755,250.0230661,487.5987104,147.1868549,969.1737399,212.7861766
Esfahan,362.7190714,685.592295,425.7212388,501.9509188,732.8235015,0,406.9633863,525.6508467,588.2392146,370.9433293,714.0901956,3548.485608,12269.4944,460.5426064,279.5907967,222.5671191,787.1351201,330.0087418,265.358173,400.7859572,759.8691103,423.6306134,226.1299177,747.0900585,357.2022768,1017.276328,522.9911857,331.3771471,821.1386807,272.1314022,525.3242427
Fars,745.5375371,1092.161832,234.4976062,94.99412339,1131.448946,406.9633863,0,932.4235482,892.8988377,754.2738174,351.7789671,3408.55994,12662.11768,805.2449846,475.7520052,282.2461245,1146.443745,666.4943076,664.5870746,787.9361718,981.5096269,830.4873091,632.7347789,876.0090202,697.086614,754.1522101,904.4621489,729.1472873,1205.865844,307.3552607,928.7223596
Gilan,257.8387991,170.0151739,918.61717,1027.413411,275.0890225,525.6508467,932.4235482,0,482.3362399,279.9850504,1220.047221,3762.095069,11756.42869,390.1987888,623.398489,712.0051572,480.774588,420.5885469,291.1533059,221.966874,732.7785757,102.1026509,299.6930565,862.5624826,378.7663131,1447.896478,266.0115166,225.7785745,413.8271005,727.176821,113.6715252
Golestan,298.7981094,608.3244089,997.8652509,975.3752175,745.5509924,588.2392146,892.8988377,482.3362399,0,648.0479579,1057.817225,3285.856106,11804.16474,790.0568802,837.9574645,807.4240902,961.8706288,741.2149882,561.4812136,299.8280702,250.6328622,463.5570019,472.8867212,402.8497945,234.2977272,1140.780623,718.5784306,370.0487044,890.6335054,592.6235124,587.2910723
Hamadan,350.8016967,383.591049,686.9880285,846.6588497,383.1226981,370.9433293,754.2738174,279.9850504,648.0479579,0,1081.308326,3844.017119,11998.22739,142.4237977,362.5696264,493.6984904,419.9385809,142.2491415,120.2778853,349.7009375,887.0744143,212.8234248,216.7958168,960.180748,452.2065901,1382.244039,152.3490272,279.6098001,452.9083866,632.8285045,208.2637644
Hormozgan,996.7742807,1387.421865,554.7920983,286.0615899,1446.084753,714.0901956,351.7789671,1220.047221,1057.817225,1081.308326,0,3119.417207,12860.68759,1147.164785,827.1088041,632.4899884,1486.679821,1008.14103,979.4398662,1041.022614,1065.038699,1121.263095,927.2086424,897.2962458,915.5048309,444.0408896,1233.547156,999.9601922,1533.850864,499.8061562,1236.282384
Ilam,3527.732789,3893.717824,3642.089437,3382.689604,4031.012501,3548.485608,3408.55994,3762.095069,3285.856106,3844.017119,3119.417207,0,12378.91614,3975.041477,3798.911373,3625.301814,4229.264766,3866.228876,3726.389778,3551.191234,3041.556061,3719.630583,3627.327385,2901.318191,3408.101136,2675.474453,3961.853806,3589.368478,4174.916754,3290.689897,3857.196842
